Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 18:49:02,100,0.74,0,2,8.63
2024-09-04 18:49:03,1.6,0.74,0,2,8.64
2024-09-04 18:49:05,1.6,0.76,0,2,8.62
2024-09-04 18:49:06,100,0.76,0,2,8.65
2024-09-04 18:49:08,100,0.76,0,2,8.66
2024-09-04 18:49:09,24.6,0.78,0,2,8.62
2024-09-04 18:49:10,31.7,0.90,0,2,8.61
2024-09-04 18:49:12,21.7,0.93,0,2,8.61
2024-09-04 18:49:13,82,0.95,0,2,8.64
2024-09-04 18:49:14,100,1.47,0,2,8.62
2024-09-04 18:49:16,98.4,1.51,0,2,8.62
2024-09-04 18:49:18,100,1.54,0,2,8.61
2024-09-04 18:49:19,100,1.59,0,2,8.53
2024-09-04 18:49:21,100,1.60,0,2,8.59
2024-09-04 18:49:22,100,1.62,0,2,8.60
2024-09-04 18:49:24,100,1.63,0,2,8.51
2024-09-04 18:49:25,100,1.64,0,2,8.52
2024-09-04 18:49:27,100,1.64,0,2,8.60
2024-09-04 18:49:28,100,1.64,0,2,8.57
2024-09-04 18:49:30,100,1.65,0,2,8.57
2024-09-04 18:49:31,100,1.63,0,2,8.53
2024-09-04 18:49:33,100,1.64,0,2,8.54
2024-09-04 18:49:35,100,1.64,0,2,8.58
2024-09-04 18:49:36,100,1.64,0,2,8.62
2024-09-04 18:49:38,100,1.64,0,2,8.61
2024-09-04 18:49:39,100,1.67,0,2,8.57
2024-09-04 18:49:41,100,1.66,0,2,8.64
2024-09-04 18:49:42,100,1.67,0,2,8.59
2024-09-04 18:49:44,100,1.67,0,2,8.59
2024-09-04 18:49:45,100,1.68,0,2,8.60
2024-09-04 18:49:47,100,1.68,0,2,8.65
2024-09-04 18:49:48,100,1.68,0,2,8.64
2024-09-04 18:49:50,100,1.69,0,2,8.62
2024-09-04 18:49:52,51.6,1.69,0,2,8.59
2024-09-04 18:49:53,27,1.69,0,2,8.60
2024-09-04 18:49:54,27,1.69,0,2,8.69
2024-09-04 18:49:56,24.6,1.69,0,2,8.66
2024-09-04 18:49:57,100,1.46,0,2,8.56
2024-09-04 18:49:59,100,1.52,0,2,8.62
2024-09-04 18:50:00,100,1.55,0,2,8.69
2024-09-04 18:50:02,100,1.58,0,2,8.63
2024-09-04 18:50:03,100,1.64,0,2,8.66
2024-09-04 18:50:05,100,1.66,0,2,8.59
2024-09-04 18:50:06,100,1.67,0,2,8.57
2024-09-04 18:50:08,100,1.67,0,2,8.71
2024-09-04 18:50:09,100,1.67,0,2,8.67
2024-09-04 18:50:11,100,1.67,0,2,8.71
2024-09-04 18:50:13,100,1.67,0,2,8.66
2024-09-04 18:50:14,100,1.67,0,2,8.63
2024-09-04 18:50:16,100,1.68,0,2,8.64
