Column,MAE,RMSE,POCID
ABBV,0.7621568952287906,1.2223424626227375,0.3890625747454158
ACN,1.8690883091517858,2.348833051891461,0.5661232583771053
AEP,0.21313149588448457,0.3063511811565073,0.21824146124381588
AIZ,0.7743486676897281,1.364196511997023,0.40888310675469536
ALLE,0.933013916015625,1.3155446974760656,0.6991711278597549
AMAT,3.1682761056082547,4.262465729595366,1.537042131301185
AMP,1.8576660156250162,2.7416253275389755,0.4278730840533306
AMZN,1.1934705461774553,1.766819430067268,0.6712972135992116
AVB,0.947934831891733,1.504417273592759,0.4365977652268863
AVY,1.096860613141741,1.5726127762630921,0.5112956323200066
AXP,2.276251656668531,3.066112538927719,0.9074361114740876
BDX,0.5465698242187378,0.746156809316781,0.23190199777549664
BF-B,0.25617218017578125,0.34628978110622116,0.5686036298011259
BMY,0.3148002624511729,0.42078740772051565,0.6458955503077384
BR,0.7037549700055804,0.9422706700872748,0.3359051878997639
CARR,0.6244321550641742,0.8911539746257278,0.9060058271527252
CDW,2.0994546072823743,2.832715347641219,0.9386093695401337
CE,1.1894008091517858,1.5220712952740814,0.9163737877999149
CHTR,3.2959289550781006,4.542569111122741,0.9442994748606817
CNC,0.14853014264787948,0.1803294036470719,0.18977676202300134
CNP,0.2790339333670485,0.384904263073709,1.0657123013557535
COP,0.5897205897739956,0.8869531261018271,0.5326920942799173
CTAS,3.266261509486607,4.70823150910647,0.4207976657901308
CZR,0.4101393563406808,0.7136707896223742,1.1118331357856293
DG,0.8297903878348235,1.0790856205709578,0.6748066080908827
DPZ,5.500706263950901,7.170387180023812,1.2771422073296603
DXC,0.1999849591936389,0.30691529736620243,1.0101708008794144
EWA,0.2425283704485217,0.30966507952921934,0.9577448790928658
EWC,0.21086556570870535,0.30068938221320174,0.5331619895598135
EWG,0.216182981218611,0.28438473604280484,0.6798817872300753
EWH,0.12002699715750532,0.15180959304655495,0.7644336171041557
EWJ,0.6332975115094867,0.8177830632005771,0.9006852147701133
EWL,0.33758980887276785,0.44005728900180585,0.6552779039747078
EWQ,0.291107177734376,0.39072894394056745,0.7403539571697562
EWT,0.5847424098423549,0.8146487762474651,1.083745093181674
EWU,0.23744365147181717,0.31756007157335914,0.64602982880315
EWY,0.6132965087890625,0.9534358216713812,0.9284132260020842
EWZ,0.3748918260846814,0.4872972349827061,1.2334866193150504
FTV,0.6355874197823661,0.9411796754519852,0.8927864315642291
GOOG,1.2948869977678572,1.7783957429138593,0.7764507894223088
GPC,1.3465772356305803,2.036141020412636,0.9587494013490796
GSG,0.12227112906319805,0.17849442547735672,0.582917601992364
HIG,0.4203273228236607,0.5192546520322637,0.37800190298687586
HIGH.L,0.020963328225272297,0.029705050814059882,0.3632349778441733
HST,0.23488916669573104,0.28800535923072856,1.3973180412614274
HYG,0.13065229143415177,0.1836393284438599,0.16537965615561598
IAU,0.18122591291155235,0.31255562112138985,0.38275997622809516
ICLN,0.14379555838448713,0.18244882943127028,1.0096989701063652
IEAA.L,0.01892920902797154,0.0282490064691578,0.37167630773731464
IEF,0.23005240304129668,0.2887662700215711,0.23617611540832237
IEFM.L,1.613769531250065,2.3075671872340195,0.17080799611406036
IEMG,0.405059814453126,0.4956021833025688,0.7417319428091408
IEUS,0.5781707763671875,0.7211668294566229,0.981376192918453
IEVL.L,0.049270221165248325,0.0580646464900555,0.5713719649740114
IGF,0.2649247305733797,0.34606900133136753,0.5136191011336583
INDA,0.13219015938894987,0.19249895031220676,0.23331596552767733
IUMO.L,0.054372651236397625,0.06550872059644149,0.3885346619040566
IUVL.L,0.057809965951102375,0.0743201657000119,0.6004893301618937
IVV,2.788059779575893,3.643081910203742,0.4969019019481018
IWM,2.473584856305808,3.2083607243026093,1.1524265555837065
IXN,0.7682745797293526,1.0203342507833788,0.9337480710759396
JPEA.L,0.01951796667916434,0.0306606718927319,0.3414961185409932
JPM,0.9600045340401745,1.216508214131622,0.4457880317001384
KR,0.405724116734096,0.5110900358239606,0.7716320262939044
LQD,0.26902662004743305,0.3392492690369702,0.24104476788431708
MCHI,0.3960625784737723,0.5301452541441193,0.9335751333580127
META,3.1500244140625,4.19704862998704,0.5949953654691549
MVEU.L,0.19135502406528918,0.22461330238419708,0.313862146480173
OGN,0.36906078883579696,0.5869661667775907,1.7605462218073802
PG,0.5370025634765625,0.852769492917775,0.31746049337142346
PPL,0.10083035060337611,0.13144071104486815,0.3206926529378989
PRU,0.9235055106026745,1.133078740586891,0.8061227885637845
PYPL,0.6942422049386161,1.1134149868875949,0.9879036282384195
