Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-05 01:12:06,100,0.79,0,2,8.89
2024-09-05 01:12:08,1.6,0.79,0,2,8.85
2024-09-05 01:12:09,1.6,0.79,0,2,8.81
2024-09-05 01:12:10,100,0.80,0,2,8.85
2024-09-05 01:12:12,24.2,0.80,0,2,8.84
2024-09-05 01:12:13,29,0.89,0,2,8.82
2024-09-05 01:12:14,27,1.03,0,2,8.85
2024-09-05 01:12:16,24.2,1.13,0,2,8.85
2024-09-05 01:12:17,32.3,1.24,0,2,8.81
2024-09-05 01:12:19,100,1.54,0,2,8.86
2024-09-05 01:12:20,28.3,1.77,0,2,8.85
2024-09-05 01:12:21,26.2,1.97,0,2,8.77
2024-09-05 01:12:23,24.2,2.07,0,2,8.73
2024-09-05 01:12:24,27.4,2.61,2,428,14.90
2024-09-05 01:12:26,26.7,2.77,22,428,38.03
2024-09-05 01:12:27,27.4,2.77,21,428,37.63
2024-09-05 01:12:28,28.6,2.79,22,428,37.75
2024-09-05 01:12:30,27.4,2.80,21,428,37.72
2024-09-05 01:12:31,26.2,2.81,22,428,37.63
2024-09-05 01:12:32,24.6,2.81,22,428,37.97
2024-09-05 01:12:34,30.6,2.81,22,428,37.76
2024-09-05 01:12:35,25.8,2.82,23,428,37.89
2024-09-05 01:12:36,29.7,2.81,23,428,37.65
2024-09-05 01:12:38,30.2,2.81,21,428,37.74
2024-09-05 01:12:39,28.6,2.81,21,428,37.39
2024-09-05 01:12:41,26.2,1.74,2,2,32.84
2024-09-05 01:12:42,28.1,1.93,0,2,25.89
2024-09-05 01:12:43,24.6,2.05,0,2,20.48
2024-09-05 01:12:45,28.6,2.17,0,48,12.67
2024-09-05 01:12:46,27.4,2.89,9,252,33.03
2024-09-05 01:12:47,28.6,2.90,10,252,30.04
2024-09-05 01:12:49,26.2,2.92,10,252,29.12
2024-09-05 01:12:50,26.7,2.93,9,252,29.02
2024-09-05 01:12:52,26.2,2.93,10,252,29.16
2024-09-05 01:12:53,27.9,2.93,9,252,29.06
2024-09-05 01:12:54,26.2,2.94,9,252,28.97
2024-09-05 01:12:56,26.2,2.94,9,252,29.20
2024-09-05 01:12:57,26.2,2.94,10,252,29.22
2024-09-05 01:12:58,27.4,2.94,10,252,29.25
2024-09-05 01:13:00,29.5,2.94,10,252,29.26
2024-09-05 01:13:01,27.4,2.94,10,252,29.11
