Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-05 00:57:39,1.6,0.57,0,2,8.58
2024-09-05 00:57:41,4.6,0.57,0,2,8.57
2024-09-05 00:57:42,3.2,0.58,0,2,8.58
2024-09-05 00:57:44,100,0.58,0,2,8.60
2024-09-05 00:57:45,100,0.58,0,2,8.63
2024-09-05 00:57:46,1.6,0.59,0,2,8.67
2024-09-05 00:57:48,1.6,0.59,0,2,8.78
2024-09-05 00:57:49,22.6,0.60,0,2,8.75
2024-09-05 00:57:50,27.4,0.69,0,2,8.66
2024-09-05 00:57:52,24.6,0.83,0,2,8.63
2024-09-05 00:57:53,25.8,0.92,0,2,8.67
2024-09-05 00:57:54,27.4,1.02,0,2,8.68
2024-09-05 00:57:56,8.2,1.17,0,2,8.61
2024-09-05 00:57:57,33.9,1.45,0,2,8.57
2024-09-05 00:57:59,27,1.61,0,2,8.62
2024-09-05 00:58:00,26.2,1.77,0,2,8.65
2024-09-05 00:58:01,23.3,1.88,0,2,8.65
2024-09-05 00:58:03,29.7,2.58,47,1378,48.17
2024-09-05 00:58:04,29,2.58,71,1378,90.79
2024-09-05 00:58:05,26.2,2.60,73,1378,90.24
2024-09-05 00:58:07,25.8,2.60,64,1380,90.28
2024-09-05 00:58:08,26.2,2.60,70,1380,89.64
2024-09-05 00:58:10,27.4,2.60,69,1380,90.10
2024-09-05 00:58:11,30.2,2.60,72,1380,89.40
2024-09-05 00:58:12,27.9,2.60,73,1380,90.28
2024-09-05 00:58:14,25.8,2.60,72,1380,92.05
2024-09-05 00:58:15,27.9,2.60,74,1380,92.51
2024-09-05 00:58:17,29,2.60,71,1380,89.91
2024-09-05 00:58:18,27.9,2.61,72,1380,91.45
2024-09-05 00:58:19,28.6,2.61,72,1380,89.27
2024-09-05 00:58:21,27.9,2.62,71,1380,89.77
2024-09-05 00:58:22,31.2,2.62,69,1380,91.63
2024-09-05 00:58:23,27.4,2.62,74,1380,91.32
2024-09-05 00:58:25,27.9,1.54,0,2,47.25
2024-09-05 00:58:26,26.2,1.70,0,2,28.70
2024-09-05 00:58:28,27.9,1.82,0,2,22.75
2024-09-05 00:58:29,24.6,1.94,0,19,16.97
2024-09-05 00:58:30,27.4,2.67,20,496,35.80
2024-09-05 00:58:32,28.6,2.68,21,496,39.95
2024-09-05 00:58:33,26.2,2.68,21,496,38.62
2024-09-05 00:58:34,26.2,2.69,21,496,38.52
2024-09-05 00:58:36,27.4,2.71,21,496,39.23
2024-09-05 00:58:37,30.2,2.71,22,496,38.57
2024-09-05 00:58:39,26.7,2.71,21,496,39.58
2024-09-05 00:58:40,28.6,2.71,20,496,39.10
2024-09-05 00:58:41,28.6,2.71,20,496,38.73
2024-09-05 00:58:43,30.6,2.70,20,496,38.88
2024-09-05 00:58:44,29.7,2.70,22,496,39.03
2024-09-05 00:58:45,27.4,2.70,21,496,38.81
2024-09-05 00:58:47,30.2,2.70,20,496,38.87
2024-09-05 00:58:48,28.6,2.68,22,496,38.62
2024-09-05 00:58:50,27.4,2.69,22,496,39.57
2024-09-05 00:58:51,29.5,2.70,22,496,39.83
2024-09-05 00:58:52,27,2.71,22,496,39.17
2024-09-05 00:58:54,27.4,2.71,21,496,39.16
2024-09-05 00:58:55,54,2.74,20,496,39.37
2024-09-05 00:58:56,38.1,2.71,22,496,39.71
2024-09-05 00:58:58,42.6,2.81,22,496,39.23
2024-09-05 00:58:59,29,2.79,22,496,39.73
2024-09-05 00:59:01,29,2.79,22,496,39.77
2024-09-05 00:59:02,27.4,2.79,18,496,39.26
2024-09-05 00:59:03,27.4,2.79,19,496,39.70
2024-09-05 00:59:05,27.9,2.79,22,496,39.55
2024-09-05 00:59:06,26.2,2.80,22,496,39.12
2024-09-05 00:59:07,28.6,2.80,20,496,39.50
2024-09-05 00:59:09,29.7,2.80,22,496,39.64
2024-09-05 00:59:10,27.4,2.80,22,496,39.69
2024-09-05 00:59:12,25.8,2.80,20,496,39.53
2024-09-05 00:59:13,28.3,2.80,21,496,39.42
2024-09-05 00:59:14,26.2,2.80,22,496,39.82
2024-09-05 00:59:16,28.1,1.62,0,2,34.74
2024-09-05 00:59:17,26.2,1.77,0,2,26.09
2024-09-05 00:59:18,25.8,1.89,0,2,16.15
2024-09-05 00:59:20,28.6,2.01,0,2,13.94
2024-09-05 00:59:21,26.2,2.78,41,992,47.00
2024-09-05 00:59:23,28.6,2.79,49,992,83.26
2024-09-05 00:59:24,29.7,2.81,49,992,86.13
2024-09-05 00:59:25,26.2,2.81,39,994,80.88
2024-09-05 00:59:27,29,2.82,51,994,83.33
2024-09-05 00:59:28,30.2,2.82,50,994,83.39
2024-09-05 00:59:29,27.4,2.82,49,994,77.59
2024-09-05 00:59:31,27.9,2.81,45,994,83.39
2024-09-05 00:59:32,27.4,2.81,50,994,82.90
2024-09-05 00:59:34,26.2,2.81,45,994,82.54
2024-09-05 00:59:35,28.6,2.82,51,994,87.82
2024-09-05 00:59:36,28.6,2.82,50,994,85.35
2024-09-05 00:59:38,26.2,2.82,49,994,85.37
2024-09-05 00:59:39,28.6,2.80,43,994,84.40
2024-09-05 00:59:40,28.6,2.82,49,994,85.36
2024-09-05 00:59:42,25,2.82,48,994,83.26
2024-09-05 00:59:43,28.6,2.82,47,994,83.57
2024-09-05 00:59:45,27.9,2.82,45,994,85.60
2024-09-05 00:59:46,27.9,2.82,50,994,86.74
2024-09-05 00:59:47,27.4,2.82,49,994,86.19
2024-09-05 00:59:49,28.6,2.82,51,994,86.42
2024-09-05 00:59:50,28.6,2.82,49,994,85.01
2024-09-05 00:59:51,28.6,2.82,46,994,84.17
2024-09-05 00:59:53,30.2,2.82,46,994,81.29
2024-09-05 00:59:54,27.4,2.82,50,994,88.74
2024-09-05 00:59:56,28.6,2.82,51,994,82.35
2024-09-05 00:59:57,30.2,2.82,48,994,83.24
2024-09-05 00:59:58,30.2,2.82,50,994,87.66
2024-09-05 01:00:00,30.2,2.82,49,996,84.17
2024-09-05 01:00:01,26.2,2.82,50,996,82.37
2024-09-05 01:00:03,28.1,2.81,50,996,80.74
2024-09-05 01:00:04,29.7,2.81,50,996,85.58
2024-09-05 01:00:05,26.2,2.81,47,996,85.26
2024-09-05 01:00:07,27.4,2.81,49,996,84.27
2024-09-05 01:00:08,29,2.81,50,996,81.16
2024-09-05 01:00:09,28.1,2.81,48,996,89.15
2024-09-05 01:00:11,29,2.81,51,996,89.55
2024-09-05 01:00:12,26.2,2.81,50,996,84.46
2024-09-05 01:00:14,29,2.81,50,996,88.30
2024-09-05 01:00:15,31.7,2.83,47,996,82.47
2024-09-05 01:00:16,27.4,2.83,49,996,84.04
2024-09-05 01:00:18,26.2,2.83,46,996,88.15
2024-09-05 01:00:19,31.1,2.83,47,996,84.26
2024-09-05 01:00:20,28.6,2.83,49,996,83.33
2024-09-05 01:00:22,27.4,2.83,44,996,86.27
2024-09-05 01:00:23,25,2.83,49,996,87.72
2024-09-05 01:00:25,29.7,2.81,35,996,84.02
2024-09-05 01:00:26,28.6,2.81,45,996,88.65
2024-09-05 01:00:27,28.6,2.81,51,996,86.20
2024-09-05 01:00:29,26.2,2.82,49,996,83.38
2024-09-05 01:00:30,27.4,2.82,50,996,87.40
2024-09-05 01:00:31,30.6,2.82,51,996,85.47
2024-09-05 01:00:33,27.4,2.82,50,996,90.31
2024-09-05 01:00:34,28.6,2.82,50,996,86.26
2024-09-05 01:00:36,27.4,2.82,47,996,86.73
2024-09-05 01:00:37,29,2.82,49,996,84.96
