Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 21:30:40,100,0.82,0,2,8.48
2024-09-04 21:30:42,1.6,0.83,0,2,8.51
2024-09-04 21:30:43,3.2,0.83,0,2,8.55
2024-09-04 21:30:44,100,0.83,0,2,8.54
2024-09-04 21:30:46,100,0.83,0,2,8.56
2024-09-04 21:30:47,1.6,0.83,0,2,8.54
2024-09-04 21:30:49,1.6,0.83,0,2,8.49
2024-09-04 21:30:50,100,0.84,0,2,8.49
2024-09-04 21:30:51,1.6,0.84,0,2,8.48
2024-09-04 21:30:53,29,0.92,0,2,8.47
2024-09-04 21:30:54,28.6,1.06,0,2,8.47
2024-09-04 21:30:55,27,1.16,0,2,8.48
2024-09-04 21:30:57,27.9,1.27,0,2,8.41
2024-09-04 21:30:58,100,1.43,0,2,8.42
2024-09-04 21:31:00,24.6,1.77,0,2,8.40
2024-09-04 21:31:01,27,1.98,0,2,8.49
2024-09-04 21:31:02,26.2,2.09,0,2,8.57
2024-09-04 21:31:04,30.2,2.52,1,208,17.04
2024-09-04 21:31:05,31.2,2.69,5,208,30.55
2024-09-04 21:31:06,54,2.73,5,208,25.41
2024-09-04 21:31:08,27.4,2.77,5,208,25.56
2024-09-04 21:31:09,26.2,2.78,5,208,25.64
2024-09-04 21:31:11,30.6,2.78,5,168,25.60
2024-09-04 21:31:12,23,1.88,0,2,24.88
2024-09-04 21:31:13,27,2.08,0,2,23.06
2024-09-04 21:31:15,28.6,2.18,0,2,13.30
2024-09-04 21:31:16,27.4,2.60,3,208,16.07
2024-09-04 21:31:17,30.6,2.63,5,208,25.72
2024-09-04 21:31:19,30.2,2.64,4,208,25.76
2024-09-04 21:31:20,28.6,2.65,4,208,25.75
2024-09-04 21:31:22,28.6,2.66,4,208,25.65
2024-09-04 21:31:23,27.9,2.67,4,208,25.72
2024-09-04 21:31:24,28.6,1.85,0,2,25.09
2024-09-04 21:31:26,32.3,2.02,0,2,23.56
2024-09-04 21:31:27,28.6,2.14,0,2,20.24
2024-09-04 21:31:28,24.6,2.24,0,2,13.64
2024-09-04 21:31:30,26.7,2.76,5,188,27.17
2024-09-04 21:31:31,27.4,2.77,5,188,27.10
2024-09-04 21:31:32,26.2,2.78,5,188,26.39
2024-09-04 21:31:34,27.4,2.80,5,188,26.56
2024-09-04 21:31:35,28.6,2.80,5,188,26.57
2024-09-04 21:31:37,29,2.78,5,188,26.54
2024-09-04 21:31:38,30.2,2.79,5,188,26.61
2024-09-04 21:31:39,54,2.80,0,166,25.02
2024-09-04 21:31:41,27.4,2.01,0,2,25.00
2024-09-04 21:31:42,25.8,2.15,0,2,24.84
2024-09-04 21:31:43,25,2.26,0,19,14.53
2024-09-04 21:31:45,27.4,2.75,5,188,26.15
2024-09-04 21:31:46,28.6,2.75,5,188,26.30
2024-09-04 21:31:48,27.4,2.76,5,188,26.31
2024-09-04 21:31:49,27.9,2.78,5,188,26.36
2024-09-04 21:31:50,26.2,1.85,0,2,25.12
2024-09-04 21:31:52,29,2.02,0,2,24.78
2024-09-04 21:31:53,26.2,2.14,0,2,18.68
2024-09-04 21:31:54,23.3,2.25,0,5,9.41
2024-09-04 21:31:56,27.4,2.76,5,188,25.83
2024-09-04 21:31:57,29,2.77,5,188,26.18
2024-09-04 21:31:59,28.6,2.78,5,188,26.05
2024-09-04 21:32:00,29,2.78,5,188,26.06
2024-09-04 21:32:01,26.2,2.78,5,188,26.04
2024-09-04 21:32:03,29,2.77,5,188,26.11
2024-09-04 21:32:04,27.4,2.78,5,188,26.07
2024-09-04 21:32:05,27.4,2.78,5,188,26.03
2024-09-04 21:32:07,30.2,1.84,0,2,24.95
2024-09-04 21:32:08,27,2.07,0,2,23.76
2024-09-04 21:32:10,27.9,2.17,0,2,11.60
2024-09-04 21:32:11,29,2.45,2,208,15.12
2024-09-04 21:32:12,28.6,2.65,4,208,25.86
2024-09-04 21:32:14,27.4,2.65,4,208,25.89
