Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 21:17:15,1.6,0.67,0,2,8.69
2024-09-04 21:17:16,1.6,0.68,0,2,8.69
2024-09-04 21:17:17,3.2,0.68,0,2,8.70
2024-09-04 21:17:19,100,0.68,0,2,8.65
2024-09-04 21:17:20,1.6,0.68,0,2,8.73
2024-09-04 21:17:21,3.2,0.68,0,2,8.74
2024-09-04 21:17:23,1.6,0.68,0,2,8.78
2024-09-04 21:17:24,100,0.68,0,2,8.80
2024-09-04 21:17:26,1.6,0.68,0,2,8.85
2024-09-04 21:17:27,100,0.69,0,2,8.83
2024-09-04 21:17:28,1.6,0.69,0,2,8.73
2024-09-04 21:17:30,100,0.69,0,2,8.72
2024-09-04 21:17:31,1.6,0.69,0,2,8.68
2024-09-04 21:17:32,1.6,0.69,0,2,8.68
2024-09-04 21:17:34,3.1,0.69,0,2,8.69
2024-09-04 21:17:35,3.1,0.69,0,2,8.69
2024-09-04 21:17:37,3.1,0.69,0,2,8.65
2024-09-04 21:17:38,1.6,0.69,0,2,8.70
2024-09-04 21:17:39,1.6,0.69,0,2,8.74
2024-09-04 21:17:41,1.6,0.69,0,2,8.68
2024-09-04 21:17:42,100,0.69,0,2,8.63
2024-09-04 21:17:43,1.6,0.69,0,2,8.62
2024-09-04 21:17:45,1.6,0.69,0,2,8.66
2024-09-04 21:17:46,100,0.69,0,2,8.73
2024-09-04 21:17:48,1.6,0.69,0,2,8.68
2024-09-04 21:17:49,1.6,0.69,0,2,8.84
2024-09-04 21:17:50,100,0.69,0,2,8.75
2024-09-04 21:17:52,100,0.69,0,2,8.68
2024-09-04 21:17:53,1.6,0.69,0,2,8.66
2024-09-04 21:17:54,1.6,0.69,0,2,8.65
2024-09-04 21:17:56,3.1,0.69,0,2,8.65
2024-09-04 21:17:57,1.6,0.69,0,2,8.67
2024-09-04 21:17:58,3.1,0.69,0,2,8.66
2024-09-04 21:18:00,1.6,0.69,0,2,8.63
2024-09-04 21:18:01,1.6,0.69,0,2,8.73
2024-09-04 21:18:03,27.4,0.75,0,2,8.71
2024-09-04 21:18:04,27.4,0.93,0,2,8.74
2024-09-04 21:18:05,28.1,0.98,0,2,8.70
2024-09-04 21:18:07,27,1.08,0,2,8.68
2024-09-04 21:18:08,25.4,1.21,0,2,8.70
2024-09-04 21:18:09,100,1.34,0,2,8.67
2024-09-04 21:18:11,24.6,1.63,0,2,8.65
2024-09-04 21:18:12,27,1.84,0,2,8.67
2024-09-04 21:18:14,27,1.95,0,2,8.85
2024-09-04 21:18:15,26.2,2.45,1,208,15.85
2024-09-04 21:18:16,28.6,2.53,6,208,30.92
