Column,MAE,RMSE,POCID
ABBV,0.8023529052734334,1.2765875820181347,0.40958166111773914
ACN,1.7858232770647322,2.230385681648616,0.540903331077154
AEP,0.20265742710658685,0.30231575818646683,0.20751626989764546
AIZ,0.8509107317243344,1.4112919291447925,0.4493105471420084
ALLE,1.0089263916015625,1.3412709694215268,0.7560575368006878
AMAT,3.149254935128344,4.185913292602618,1.5278142927417446
AMP,1.732883998325909,2.7813062166576215,0.39913225220999116
AMZN,1.1405988420758928,1.7046643764300036,0.6415582076762756
AVB,0.9337615966796794,1.508838935833282,0.4300698873481205
AVY,1.1333116803850447,1.570678500516917,0.5282870998333867
AXP,2.220036097935272,3.1228254178138712,0.885025571817013
BDX,0.46632385253905034,0.6489964150414333,0.19785474466825584
BF-B,0.22502517700195312,0.30724640503593087,0.49946927239387995
BMY,0.3104923793247778,0.4267493128008064,0.6370567948349218
BR,0.6621311732700893,0.8868975252815532,0.3160379757883868
CARR,0.6204823085239956,0.9063710044122458,0.9002748859243813
CDW,1.9502454485212135,2.6750775820425354,0.8719019904195571
CE,1.1278468540736608,1.4432423476373992,0.8689495465054826
CHTR,3.564531598772313,4.814634867161308,1.0212554222866255
CNC,0.1624330793108259,0.1971322213069839,0.2075405253606548
CNP,0.2627132960728242,0.36029700849613117,1.0033790083381584
COP,0.6496113368443039,0.9455835963451878,0.5867911507451121
CTAS,3.296604701450893,4.690430120640184,0.4247068274766977
CZR,0.3771852765764509,0.704569783146815,1.0224990173335609
DG,0.6865975516183056,0.9673616360394995,0.5583585586475621
DPZ,5.396083286830366,7.146426847129013,1.2528510684239536
DXC,0.2016838618687226,0.3074786192141207,1.018752355626458
EWA,0.26315743582589335,0.3419953559148403,1.039209087544484
EWC,0.2258284432547433,0.3285149166469612,0.5709948027798059
EWG,0.2274540492466523,0.3041991868684846,0.7153285824944418
EWH,0.10963276454380555,0.15007758986543834,0.6982343367582035
EWJ,0.6307547433035714,0.8288580318511285,0.8970688517084673
EWL,0.3514039175851004,0.46132453007292423,0.682091747178451
EWQ,0.30162920270647425,0.4046772842057575,0.7671139391329628
EWT,0.6070267813546317,0.832256928125661,1.1250463189429083
EWU,0.2508550371442502,0.32866049629771255,0.6825191395775982
EWY,0.6060311453683036,0.9667479283618999,0.917414859967256
EWZ,0.38730294363839235,0.5168616854215512,1.2743222587397163
FTV,0.5999559674944196,0.9215401665843971,0.8427362320959962
GOOG,1.3598436628069197,1.8454495056700078,0.8154006390499304
GPC,1.1987980433872767,1.867499244469326,0.8535321079431282
GSG,0.11775725228445921,0.1664178368917694,0.5613980638339204
HIG,0.4126009259905134,0.5345962077570446,0.37105352597787816
HIGH.L,0.013583115168980444,0.02262594160644558,0.23535683286738115
HST,0.2346226828438895,0.2877892582801314,1.3957327714973033
HYG,0.13941737583705358,0.19225258349280322,0.17647449903066365
IAU,0.19483184814453022,0.3077450528614917,0.41149652588960683
ICLN,0.15853827340262278,0.20849703670371753,1.1132188864210344
IEAA.L,0.0123138427734375,0.02304047526373952,0.2417831410348957
IEF,0.24020385742187703,0.30012878386144604,0.24659778903422178
IEFM.L,1.5661097935268506,2.308643643432811,0.16576349370018845
IEMG,0.4148962838309162,0.5182108350731827,0.7597441555284434
IEUS,0.5777931213378906,0.7310680392858244,0.9807351683803112
IEVL.L,0.04216739109584263,0.05805183921332736,0.4890025767786262
IGF,0.28213500976562295,0.3722039017994668,0.5469852882383797
INDA,0.15211922781807935,0.19268684338533626,0.26849082169021693
IUMO.L,0.04786491394042943,0.06081057023477135,0.3420318438042685
IUVL.L,0.051350593566894275,0.08081266737100681,0.53339390582727
