Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-05 02:03:47,3.1,0.79,0,2,8.85
2024-09-05 02:03:48,1.6,0.79,0,2,8.83
2024-09-05 02:03:50,1.6,0.79,0,2,8.86
2024-09-05 02:03:51,1.6,0.79,0,2,8.86
2024-09-05 02:03:53,1.6,0.79,0,2,8.90
2024-09-05 02:03:54,1.6,0.79,0,2,8.93
2024-09-05 02:03:55,25,0.84,0,2,8.90
2024-09-05 02:03:57,26.2,1.00,0,2,8.85
2024-09-05 02:03:58,25.8,1.10,0,2,8.86
2024-09-05 02:03:59,24.6,1.19,0,2,8.90
2024-09-05 02:04:01,50,1.30,0,2,8.89
2024-09-05 02:04:02,56.7,1.39,0,2,8.89
2024-09-05 02:04:04,26.2,1.73,0,2,8.92
2024-09-05 02:04:05,27,1.96,0,2,8.93
2024-09-05 02:04:06,27.4,2.05,0,2,8.95
2024-09-05 02:04:08,54.7,2.29,0,148,15.27
2024-09-05 02:04:09,29.7,2.91,25,378,44.64
2024-09-05 02:04:10,28.6,2.92,25,378,39.64
2024-09-05 02:04:12,29,2.94,26,378,39.85
2024-09-05 02:04:13,29,2.94,25,378,38.92
2024-09-05 02:04:14,25,2.95,24,378,39.66
2024-09-05 02:04:16,28.6,2.95,27,378,39.58
2024-09-05 02:04:17,29,2.96,24,378,40.19
2024-09-05 02:04:19,27.4,2.96,26,378,39.44
2024-09-05 02:04:20,27.4,2.96,24,378,39.67
2024-09-05 02:04:21,27.4,2.97,8,182,35.32
2024-09-05 02:04:23,26.2,1.94,2,2,25.69
2024-09-05 02:04:24,27.4,2.08,0,2,25.67
2024-09-05 02:04:25,22.2,2.20,0,2,17.34
2024-09-05 02:04:27,55.6,2.23,0,2,12.66
2024-09-05 02:04:28,29,2.02,0,2,10.53
2024-09-05 02:04:30,27.4,2.11,0,2,9.02
2024-09-05 02:04:31,4.7,1.76,0,2,9.01
2024-09-05 02:04:32,27.4,1.85,0,2,9.04
2024-09-05 02:04:34,27.4,2.04,0,2,9.01
2024-09-05 02:04:35,29.7,2.16,0,2,8.98
2024-09-05 02:04:36,27.4,2.82,2,314,28.25
2024-09-05 02:04:38,27.4,2.87,17,314,38.58
2024-09-05 02:04:39,27.4,2.88,15,314,34.09
2024-09-05 02:04:41,29,2.88,17,314,33.96
2024-09-05 02:04:42,27.9,2.88,15,314,33.86
2024-09-05 02:04:43,28.6,2.88,18,314,34.62
2024-09-05 02:04:45,26.2,2.88,18,314,34.03
2024-09-05 02:04:46,27.4,2.89,18,314,34.60
2024-09-05 02:04:47,28.6,2.89,18,314,34.00
2024-09-05 02:04:49,25,2.89,17,314,34.03
2024-09-05 02:04:50,27.4,2.89,17,314,34.14
2024-09-05 02:04:52,28.6,2.89,16,314,34.41
2024-09-05 02:04:53,29,2.89,18,314,34.50
2024-09-05 02:04:54,27.4,2.89,18,314,34.62
2024-09-05 02:04:56,26.7,2.88,18,314,34.36
2024-09-05 02:04:57,30.6,2.88,17,314,34.18
2024-09-05 02:04:58,28.6,2.89,18,314,34.12
2024-09-05 02:05:00,26.2,2.89,17,314,34.24
2024-09-05 02:05:01,27.4,2.89,18,314,34.41
2024-09-05 02:05:03,31.2,2.89,18,314,34.63
2024-09-05 02:05:04,25.4,1.83,0,2,25.89
2024-09-05 02:05:05,28.1,2.02,0,2,25.34
2024-09-05 02:05:07,27.4,2.12,0,2,19.67
2024-09-05 02:05:08,24.6,2.42,2,180,14.81
2024-09-05 02:05:09,25,2.88,8,234,28.09
2024-09-05 02:05:11,29,2.88,8,234,28.40
2024-09-05 02:05:12,29,2.88,8,234,28.26
2024-09-05 02:05:14,29,2.88,8,234,28.33
2024-09-05 02:05:15,26.2,2.90,8,234,28.37
2024-09-05 02:05:16,27.4,2.88,8,234,28.37
2024-09-05 02:05:18,28.6,2.89,8,234,28.32
2024-09-05 02:05:19,30.2,2.89,8,234,28.35
2024-09-05 02:05:20,29.2,2.91,8,234,28.27
2024-09-05 02:05:22,28.6,2.91,8,234,28.27
2024-09-05 02:05:23,27.4,2.91,8,234,28.25
2024-09-05 02:05:25,25.4,2.91,8,234,28.29
2024-09-05 02:05:26,26.7,2.91,8,234,28.25
2024-09-05 02:05:27,29,2.91,7,234,28.29
2024-09-05 02:05:29,33.3,2.91,8,234,28.31
2024-09-05 02:05:30,26.2,2.91,8,234,28.24
2024-09-05 02:05:31,28.6,2.92,8,234,28.09
2024-09-05 02:05:33,27.9,2.92,8,234,28.19
2024-09-05 02:05:34,29.7,2.91,8,234,28.15
2024-09-05 02:05:36,26.7,2.91,7,234,28.08
2024-09-05 02:05:37,12.9,2.06,7,2,27.95
2024-09-05 02:05:38,28.1,1.88,0,2,25.47
2024-09-05 02:05:40,26.7,2.07,0,2,25.21
2024-09-05 02:05:41,26.6,2.18,0,2,12.39
2024-09-05 02:05:42,30.2,2.73,5,254,17.02
2024-09-05 02:05:44,26.2,2.87,12,254,29.97
2024-09-05 02:05:45,29,2.87,11,254,30.03
2024-09-05 02:05:46,27.4,2.88,12,254,30.01
2024-09-05 02:05:48,30.8,2.88,10,254,29.89
2024-09-05 02:05:49,27.4,2.88,11,254,30.04
2024-09-05 02:05:51,29,2.88,11,254,30.03
2024-09-05 02:05:52,27.4,2.86,12,254,29.95
2024-09-05 02:05:53,27.4,2.87,11,254,29.93
2024-09-05 02:05:55,29,2.87,12,254,29.93
2024-09-05 02:05:56,27.4,2.87,12,254,29.88
2024-09-05 02:05:57,29.7,2.87,11,254,29.91
2024-09-05 02:05:59,27.9,2.88,12,254,29.75
2024-09-05 02:06:00,29.7,2.88,11,254,30.03
2024-09-05 02:06:02,28.6,2.88,12,254,29.99
2024-09-05 02:06:03,30.2,2.89,12,254,30.05
2024-09-05 02:06:04,28.6,2.88,12,254,30.13
2024-09-05 02:06:06,26.7,2.87,11,254,29.97
2024-09-05 02:06:07,27.4,2.87,12,254,30.10
2024-09-05 02:06:08,28.6,2.88,12,254,30.04
