Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-05 01:50:12,1.6,0.55,0,2,8.59
2024-09-05 01:50:13,1.6,0.57,0,2,8.58
2024-09-05 01:50:15,1.6,0.58,0,2,8.56
2024-09-05 01:50:16,3.1,0.58,0,2,8.63
2024-09-05 01:50:17,3.2,0.58,0,2,8.66
2024-09-05 01:50:19,1.6,0.58,0,2,8.68
2024-09-05 01:50:20,8.2,0.59,0,2,8.69
2024-09-05 01:50:22,26.7,0.67,0,2,8.64
2024-09-05 01:50:23,25.8,0.81,0,2,8.71
2024-09-05 01:50:24,25.8,0.90,0,2,8.74
2024-09-05 01:50:26,31.7,1.01,0,2,8.69
2024-09-05 01:50:27,96.7,1.16,0,2,8.75
2024-09-05 01:50:28,27.9,1.52,0,2,8.63
2024-09-05 01:50:30,27.4,1.75,0,2,8.61
2024-09-05 01:50:31,25,1.85,0,2,8.61
2024-09-05 01:50:33,27.4,2.17,1,152,15.79
2024-09-05 01:50:34,28.1,2.67,64,690,73.63
2024-09-05 01:50:35,27.4,2.68,70,690,80.88
2024-09-05 01:50:37,27.4,2.69,69,690,82.62
2024-09-05 01:50:38,27.4,2.69,69,690,80.03
2024-09-05 01:50:39,27.4,2.69,67,690,83.17
2024-09-05 01:50:41,27,2.69,70,690,80.21
2024-09-05 01:50:42,27.9,2.70,65,690,78.86
2024-09-05 01:50:44,30.6,2.71,69,690,85.59
2024-09-05 01:50:45,24.6,2.71,70,690,81.57
2024-09-05 01:50:46,27.4,2.71,70,690,81.47
2024-09-05 01:50:48,29,2.71,62,690,82.45
2024-09-05 01:50:49,28.6,2.71,68,690,80.27
2024-09-05 01:50:50,30.2,2.71,72,690,76.47
2024-09-05 01:50:52,28.6,2.70,70,690,79.05
2024-09-05 01:50:53,28.1,2.71,69,690,74.71
2024-09-05 01:50:55,29.7,2.71,69,690,78.67
2024-09-05 01:50:56,49.2,2.72,0,176,30.18
2024-09-05 01:50:57,26.2,1.78,0,2,27.58
2024-09-05 01:50:59,31.2,1.88,0,2,20.66
2024-09-05 01:51:00,27.4,2.37,2,472,22.81
2024-09-05 01:51:01,29.7,2.66,44,552,71.67
