Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 23:23:18,100,0.77,0,2,8.61
2024-09-04 23:23:19,100,0.77,0,2,8.52
2024-09-04 23:23:20,100,0.77,0,2,8.52
2024-09-04 23:23:22,1.6,0.77,0,2,8.58
2024-09-04 23:23:23,100,0.77,0,2,8.62
2024-09-04 23:23:24,1.6,0.77,0,2,8.60
2024-09-04 23:23:26,1.6,0.77,0,2,8.65
2024-09-04 23:23:27,1.6,0.78,0,2,8.69
2024-09-04 23:23:28,1.6,0.78,0,2,8.57
2024-09-04 23:23:30,27.4,0.80,0,2,8.58
2024-09-04 23:23:31,35.9,0.89,0,2,8.61
2024-09-04 23:23:33,27,1.01,0,2,8.57
2024-09-04 23:23:34,22.6,1.12,0,2,8.56
2024-09-04 23:23:35,66.1,1.23,0,2,8.60
2024-09-04 23:23:37,100,1.55,0,2,8.58
2024-09-04 23:23:38,27.4,1.76,0,2,8.56
2024-09-04 23:23:39,26.2,1.96,0,2,8.52
2024-09-04 23:23:41,24.6,2.07,0,2,8.57
2024-09-04 23:23:42,28.6,2.60,2,278,16.18
2024-09-04 23:23:44,27,2.87,33,282,44.86
2024-09-04 23:23:45,28.3,2.87,32,282,37.66
2024-09-04 23:23:46,27.9,2.88,34,282,37.39
2024-09-04 23:23:48,27.4,2.90,31,282,37.52
2024-09-04 23:23:49,27.4,2.90,34,282,37.55
2024-09-04 23:23:50,26.2,2.90,33,282,37.70
2024-09-04 23:23:52,30.2,2.90,33,282,38.02
2024-09-04 23:23:53,29,2.89,33,282,37.93
2024-09-04 23:23:55,28.6,2.89,30,282,37.71
2024-09-04 23:23:56,26.2,2.88,32,282,38.02
2024-09-04 23:23:57,27.4,2.88,32,282,37.26
2024-09-04 23:23:59,27.4,2.89,31,282,37.30
2024-09-04 23:24:00,26.7,2.90,33,282,37.91
2024-09-04 23:24:01,26.2,1.70,0,2,30.80
2024-09-04 23:24:03,26.2,1.89,0,2,24.92
2024-09-04 23:24:04,27,2.01,0,2,16.85
2024-09-04 23:24:06,25.8,2.13,0,5,10.50
2024-09-04 23:24:07,54.1,2.87,9,234,31.36
2024-09-04 23:24:08,32.3,2.89,10,234,30.62
2024-09-04 23:24:10,27.4,2.90,10,234,28.59
2024-09-04 23:24:11,31.7,2.91,10,234,28.76
2024-09-04 23:24:12,27.4,2.91,11,234,28.87
2024-09-04 23:24:14,29,2.92,11,234,28.93
2024-09-04 23:24:15,26.7,2.92,11,234,29.02
2024-09-04 23:24:16,26.2,2.92,11,234,28.83
2024-09-04 23:24:18,29,2.92,11,234,28.88
2024-09-04 23:24:19,28.6,2.93,10,234,28.93
2024-09-04 23:24:21,27.4,2.93,11,234,28.90
2024-09-04 23:24:22,28.6,2.93,11,234,28.83
2024-09-04 23:24:23,27.4,2.93,11,234,28.91
2024-09-04 23:24:25,29,2.93,11,234,28.91
2024-09-04 23:24:26,27.9,2.93,11,234,28.93
2024-09-04 23:24:27,29,2.93,11,234,29.00
2024-09-04 23:24:29,27.9,2.91,10,234,28.87
2024-09-04 23:24:30,29.7,2.92,10,234,28.74
2024-09-04 23:24:32,26.2,2.92,11,234,28.98
2024-09-04 23:24:33,29,2.92,10,234,28.93
2024-09-04 23:24:34,25,2.92,11,234,29.03
2024-09-04 23:24:36,28.6,2.92,11,234,28.94
2024-09-04 23:24:37,26.2,1.77,0,2,25.21
2024-09-04 23:24:38,27,1.98,0,2,23.87
2024-09-04 23:24:40,26.2,2.07,0,2,11.41
