Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 23:00:22,100,0.59,0,2,8.63
2024-09-04 23:00:23,1.6,0.59,0,2,8.67
2024-09-04 23:00:25,100,0.60,0,2,8.63
2024-09-04 23:00:26,100,0.60,0,2,8.66
2024-09-04 23:00:27,100,0.61,0,2,8.66
2024-09-04 23:00:29,1.6,0.61,0,2,8.57
2024-09-04 23:00:30,1.6,0.61,0,2,8.57
2024-09-04 23:00:31,1.6,0.61,0,2,8.62
2024-09-04 23:00:33,1.6,0.61,0,2,8.65
2024-09-04 23:00:34,100,0.61,0,2,8.68
2024-09-04 23:00:35,1.6,0.61,0,2,8.64
2024-09-04 23:00:37,27.4,0.65,0,2,8.61
2024-09-04 23:00:38,28.1,0.80,0,2,8.59
2024-09-04 23:00:40,27,0.90,0,2,8.65
2024-09-04 23:00:41,23.8,1.00,0,2,8.66
2024-09-04 23:00:42,36.5,1.13,0,2,8.64
2024-09-04 23:00:44,25.8,1.51,0,2,8.67
2024-09-04 23:00:45,24.2,1.69,0,2,8.71
2024-09-04 23:00:46,26.2,1.82,0,2,8.62
2024-09-04 23:00:48,23.3,1.95,0,19,8.96
2024-09-04 23:00:49,28.6,2.70,57,572,41.41
2024-09-04 23:00:51,30.2,2.70,58,572,67.53
2024-09-04 23:00:52,26.2,2.72,55,572,67.12
2024-09-04 23:00:53,29,2.72,57,572,67.18
2024-09-04 23:00:55,28.6,2.72,57,572,67.28
2024-09-04 23:00:56,27.4,2.72,59,572,68.72
2024-09-04 23:00:57,30.6,2.72,57,572,69.05
2024-09-04 23:00:59,36.5,2.72,56,572,68.27
2024-09-04 23:01:00,49.2,2.82,57,572,68.20
2024-09-04 23:01:02,26.2,2.80,58,572,69.29
2024-09-04 23:01:03,26.2,2.81,57,572,68.74
2024-09-04 23:01:04,29,2.81,57,572,68.96
2024-09-04 23:01:06,28.6,2.81,56,572,69.52
2024-09-04 23:01:07,28.6,2.81,53,572,67.89
2024-09-04 23:01:08,30.2,2.81,50,572,67.66
2024-09-04 23:01:10,28.6,2.82,58,572,70.26
2024-09-04 23:01:11,28.6,2.82,58,572,69.36
2024-09-04 23:01:13,29,2.81,58,572,69.00
2024-09-04 23:01:14,25,1.62,2,2,54.51
2024-09-04 23:01:15,23,1.81,0,2,30.52
2024-09-04 23:01:17,27.4,1.92,0,2,21.38
2024-09-04 23:01:18,24.6,2.06,0,20,17.55
2024-09-04 23:01:19,25,2.80,21,304,32.84
2024-09-04 23:01:21,27.4,2.82,21,304,37.26
2024-09-04 23:01:22,28.6,2.82,21,304,37.37
2024-09-04 23:01:24,29.7,2.82,21,304,37.44
2024-09-04 23:01:25,26.2,2.83,21,304,37.49
2024-09-04 23:01:26,29,2.83,21,304,37.04
2024-09-04 23:01:28,30.2,2.83,21,304,37.27
2024-09-04 23:01:29,27.4,2.83,21,304,37.41
2024-09-04 23:01:30,27.4,2.84,21,304,37.49
2024-09-04 23:01:32,27.4,2.84,21,304,37.62
2024-09-04 23:01:33,29.7,2.84,22,304,37.51
2024-09-04 23:01:34,28.6,2.84,21,304,37.53
2024-09-04 23:01:36,28.1,2.84,21,304,37.44
2024-09-04 23:01:37,31.8,2.84,22,304,37.44
2024-09-04 23:01:39,26.7,2.84,22,304,37.32
2024-09-04 23:01:40,26.2,2.84,21,304,37.67
2024-09-04 23:01:41,30.6,2.84,22,304,37.58
2024-09-04 23:01:43,29.7,2.84,21,304,37.47
2024-09-04 23:01:44,30.2,2.84,21,304,37.75
2024-09-04 23:01:45,27.4,2.84,21,304,37.32
2024-09-04 23:01:47,29.7,2.84,22,304,37.67
2024-09-04 23:01:48,1.7,1.68,2,2,35.25
2024-09-04 23:01:50,24.2,1.66,0,2,25.82
2024-09-04 23:01:51,26.2,1.87,0,2,25.10
2024-09-04 23:01:52,28.6,1.97,0,2,12.62
2024-09-04 23:01:54,28.6,2.39,2,212,16.84
2024-09-04 23:01:55,25,2.83,48,480,74.98
2024-09-04 23:01:56,29,2.84,49,480,73.44
2024-09-04 23:01:58,27.9,2.85,46,480,73.29
2024-09-04 23:01:59,28.6,2.84,47,480,77.13
2024-09-04 23:02:00,28.6,2.85,43,480,73.31
2024-09-04 23:02:02,29.7,2.86,47,480,74.75
2024-09-04 23:02:03,30.8,2.86,50,480,75.18
2024-09-04 23:02:05,27.4,2.86,47,480,73.71
2024-09-04 23:02:06,29,2.86,46,480,73.22
2024-09-04 23:02:07,28.6,2.86,48,480,72.86
2024-09-04 23:02:09,29.7,2.86,45,480,76.22
2024-09-04 23:02:10,27.4,2.87,39,480,72.52
2024-09-04 23:02:12,29,2.87,48,480,75.54
2024-09-04 23:02:13,29,2.87,48,480,77.02
2024-09-04 23:02:14,27.9,2.87,49,480,75.52
2024-09-04 23:02:16,25,2.87,50,480,76.79
2024-09-04 23:02:17,28.6,2.87,50,480,75.93
2024-09-04 23:02:18,27,2.87,47,480,76.35
2024-09-04 23:02:20,27.4,2.87,36,480,73.20
2024-09-04 23:02:21,27.9,2.87,47,480,74.84
2024-09-04 23:02:23,27,2.87,46,480,75.70
2024-09-04 23:02:24,30.2,2.87,47,480,76.81
2024-09-04 23:02:25,26.2,2.87,49,480,75.73
2024-09-04 23:02:27,27.4,2.87,49,480,75.78
2024-09-04 23:02:28,29.5,2.87,48,480,77.72
2024-09-04 23:02:29,29.7,2.87,36,480,75.00
2024-09-04 23:02:31,25,2.87,49,480,75.13
2024-09-04 23:02:32,32.3,2.87,45,480,76.98
2024-09-04 23:02:34,27.4,2.87,49,480,79.03
2024-09-04 23:02:35,27.4,2.87,49,480,74.71
2024-09-04 23:02:36,28.6,2.87,47,480,75.40
2024-09-04 23:02:38,28.6,2.87,47,480,76.95
2024-09-04 23:02:39,26.2,2.87,44,480,74.63
2024-09-04 23:02:41,26.2,2.87,48,480,77.61
2024-09-04 23:02:42,27,2.87,49,480,78.27
2024-09-04 23:02:43,29.5,2.87,44,480,73.94
2024-09-04 23:02:45,27,2.87,46,480,77.16
2024-09-04 23:02:46,27.4,2.87,45,480,73.83
2024-09-04 23:02:47,29,2.87,49,480,74.75
2024-09-04 23:02:49,27.4,2.87,44,480,75.27
2024-09-04 23:02:50,26.7,2.87,47,480,78.35
2024-09-04 23:02:52,28.6,2.87,48,480,78.98
2024-09-04 23:02:53,28.6,2.87,49,480,77.26
2024-09-04 23:02:54,29.5,2.87,45,480,77.90
2024-09-04 23:02:56,27.4,2.87,49,480,77.07
2024-09-04 23:02:57,28.6,2.87,47,480,78.00
2024-09-04 23:02:58,19,1.86,20,2,67.91
2024-09-04 23:03:00,27.9,1.70,0,2,32.82
2024-09-04 23:03:01,27.4,1.87,0,2,27.97
2024-09-04 23:03:03,25.4,1.99,0,2,17.49
2024-09-04 23:03:04,51.6,2.55,0,228,20.31
2024-09-04 23:03:05,30.2,2.86,12,230,31.08
2024-09-04 23:03:07,27.4,2.86,12,230,31.03
2024-09-04 23:03:08,28.6,2.86,11,230,31.04
2024-09-04 23:03:09,28.6,2.87,12,230,30.83
2024-09-04 23:03:11,28.6,2.87,12,230,30.83
2024-09-04 23:03:12,28.6,2.87,12,230,30.84
2024-09-04 23:03:13,27.4,2.88,12,230,30.89
2024-09-04 23:03:15,29,2.88,12,230,31.05
2024-09-04 23:03:16,32.8,2.88,11,230,30.83
2024-09-04 23:03:18,26.2,2.89,12,230,30.91
2024-09-04 23:03:19,27.4,2.87,12,230,30.84
2024-09-04 23:03:20,29,2.88,12,230,30.90
2024-09-04 23:03:22,28.6,2.88,12,230,30.69
2024-09-04 23:03:23,29,2.89,11,230,30.62
2024-09-04 23:03:25,30.6,2.87,11,230,30.45
2024-09-04 23:03:26,28.6,2.87,11,230,30.59
2024-09-04 23:03:27,26.7,2.87,12,230,30.53
2024-09-04 23:03:29,27.4,2.86,12,230,30.46
2024-09-04 23:03:30,29,2.86,12,230,30.61
2024-09-04 23:03:31,27.9,2.87,12,230,30.76
2024-09-04 23:03:33,21,1.66,0,2,26.94
2024-09-04 23:03:34,28.3,1.82,0,2,16.76
2024-09-04 23:03:36,27,1.95,0,2,14.05
2024-09-04 23:03:37,27.9,2.06,0,2,9.48
2024-09-04 23:03:38,31.2,2.84,36,464,41.74
2024-09-04 23:03:40,28.6,2.85,44,466,65.78
2024-09-04 23:03:41,27.4,2.87,45,466,68.67
2024-09-04 23:03:42,29,2.87,43,466,66.11
2024-09-04 23:03:44,28.6,2.88,44,466,65.71
2024-09-04 23:03:45,27.9,2.89,43,466,66.87
2024-09-04 23:03:46,28.6,2.89,44,466,68.12
2024-09-04 23:03:48,28.1,2.89,43,466,66.18
2024-09-04 23:03:49,30.2,2.89,40,466,66.16
