Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 20:00:59,1.6,0.86,0,2,8.80
2024-09-04 20:01:01,1.6,0.88,0,2,8.73
2024-09-04 20:01:02,1.6,0.88,0,2,8.72
2024-09-04 20:01:03,100,0.89,0,2,8.77
2024-09-04 20:01:05,31.7,0.89,0,2,8.85
2024-09-04 20:01:06,1.6,0.87,0,2,8.71
2024-09-04 20:01:08,31.1,0.90,0,2,8.77
2024-09-04 20:01:09,27.4,0.96,0,2,8.73
2024-09-04 20:01:10,26.2,1.15,0,2,8.69
2024-09-04 20:01:12,26.2,1.25,0,2,8.76
2024-09-04 20:01:13,76.6,1.34,0,2,8.71
2024-09-04 20:01:14,71,1.70,0,2,8.70
2024-09-04 20:01:16,27.4,1.88,0,2,8.74
2024-09-04 20:01:17,25,2.06,0,2,8.81
2024-09-04 20:01:19,29,2.17,0,2,8.85
2024-09-04 20:01:20,26.2,2.78,7,678,16.93
2024-09-04 20:01:21,30.6,2.79,7,678,27.95
2024-09-04 20:01:23,30.2,2.80,7,678,28.04
2024-09-04 20:01:24,27.4,2.80,7,678,28.66
2024-09-04 20:01:25,29,2.81,7,678,28.00
2024-09-04 20:01:27,27.4,2.79,7,678,27.86
2024-09-04 20:01:28,17.5,2.71,18,2,28.65
2024-09-04 20:01:30,30.2,1.83,0,2,25.45
2024-09-04 20:01:31,25,2.06,0,2,22.38
2024-09-04 20:01:32,25.8,2.15,0,2,11.34
2024-09-04 20:01:34,28.6,2.35,2,172,13.61
2024-09-04 20:01:35,26.2,2.79,89,984,77.61
2024-09-04 20:01:36,29,2.80,87,984,77.64
2024-09-04 20:01:38,26.2,2.81,88,984,76.82
2024-09-04 20:01:39,26.2,2.81,88,984,78.14
2024-09-04 20:01:41,26.2,2.81,86,984,79.02
2024-09-04 20:01:42,27.4,2.80,88,984,78.98
2024-09-04 20:01:43,29,2.80,88,984,78.02
2024-09-04 20:01:45,27.4,2.81,87,984,76.39
2024-09-04 20:01:46,27.4,2.81,87,984,79.58
2024-09-04 20:01:47,27.9,2.81,88,984,79.33
2024-09-04 20:01:49,29,2.82,88,984,77.69
2024-09-04 20:01:50,27.4,2.82,87,984,80.48
2024-09-04 20:01:52,55.6,2.83,87,984,80.02
2024-09-04 20:01:53,30.2,2.83,88,984,80.06
2024-09-04 20:01:54,28.6,2.84,87,984,78.35
2024-09-04 20:01:56,28.6,2.84,87,984,79.28
2024-09-04 20:01:57,28.6,2.84,88,984,80.84
2024-09-04 20:01:58,27.9,2.84,87,984,81.19
2024-09-04 20:02:00,25,2.84,88,984,80.38
2024-09-04 20:02:01,27.4,2.84,87,984,79.79
2024-09-04 20:02:03,28.6,2.84,87,984,80.29
2024-09-04 20:02:04,27.4,2.84,86,984,78.76
2024-09-04 20:02:05,27.4,2.84,88,984,80.25
2024-09-04 20:02:07,29.7,2.84,87,984,79.29
2024-09-04 20:02:08,28.6,2.84,88,984,80.84
2024-09-04 20:02:09,32.3,2.84,87,984,78.89
2024-09-04 20:02:11,27.4,2.84,87,984,79.25
2024-09-04 20:02:12,27.4,2.84,85,984,79.38
2024-09-04 20:02:14,28.3,2.84,88,984,81.50
2024-09-04 20:02:15,29.7,2.84,88,984,80.88
2024-09-04 20:02:16,27.4,2.84,88,984,80.64
2024-09-04 20:02:18,28.6,2.84,85,984,80.04
2024-09-04 20:02:19,27.4,2.84,89,984,82.97
2024-09-04 20:02:20,27.4,2.84,89,984,80.96
2024-09-04 20:02:22,27.4,2.84,88,984,82.19
2024-09-04 20:02:23,27.9,2.84,88,984,81.94
2024-09-04 20:02:25,28.6,2.84,88,984,81.55
2024-09-04 20:02:26,26.2,2.84,87,984,82.16
2024-09-04 20:02:27,28.6,2.84,88,984,81.39
2024-09-04 20:02:29,28.6,2.84,87,984,82.02
