Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 19:54:26,1.6,0.68,0,2,8.70
2024-09-04 19:54:28,1.6,0.68,0,2,8.58
2024-09-04 19:54:29,1.6,0.68,0,2,8.55
2024-09-04 19:54:30,1.6,0.68,0,2,8.62
2024-09-04 19:54:32,3.2,0.69,0,2,8.61
2024-09-04 19:54:33,1.6,0.69,0,2,8.62
2024-09-04 19:54:34,1.6,0.69,0,2,8.62
2024-09-04 19:54:36,8.1,0.69,0,2,8.70
2024-09-04 19:54:37,28.1,0.74,0,2,8.72
2024-09-04 19:54:39,27,0.91,0,2,8.59
2024-09-04 19:54:40,27,0.99,0,2,8.56
2024-09-04 19:54:41,27,1.11,0,2,8.54
2024-09-04 19:54:43,34.4,1.24,0,2,8.51
2024-09-04 19:54:44,25.8,1.59,0,2,8.52
2024-09-04 19:54:45,27.4,1.84,0,2,8.56
2024-09-04 19:54:47,26.2,1.93,0,2,8.61
2024-09-04 19:54:48,27.4,2.13,3,152,12.30
2024-09-04 19:54:50,27.9,2.60,12,1274,39.23
2024-09-04 19:54:51,27.4,2.61,13,1274,32.79
2024-09-04 19:54:52,30.2,2.62,28,1274,32.76
2024-09-04 19:54:54,28.6,2.63,13,1274,34.85
2024-09-04 19:54:55,26.2,2.63,13,1274,32.77
2024-09-04 19:54:56,31.1,2.63,28,1274,34.51
2024-09-04 19:54:58,12.7,1.61,0,2,29.53
2024-09-04 19:54:59,27.4,1.76,0,2,27.19
2024-09-04 19:55:01,25.8,1.89,0,2,18.17
2024-09-04 19:55:02,25.4,2.01,0,2,13.49
2024-09-04 19:55:03,29,2.58,89,2398,52.89
2024-09-04 19:55:05,29,2.59,90,2398,80.89
2024-09-04 19:55:06,26.2,2.60,91,2398,81.44
2024-09-04 19:55:07,29,2.61,92,2398,81.12
2024-09-04 19:55:09,28.6,2.61,89,2398,81.11
2024-09-04 19:55:10,26.2,2.61,90,2398,81.07
2024-09-04 19:55:12,28.6,2.61,90,2398,80.95
2024-09-04 19:55:13,28.6,2.61,90,2398,81.82
2024-09-04 19:55:14,27.9,2.61,90,2398,81.06
2024-09-04 19:55:16,27.4,2.61,90,2398,82.13
2024-09-04 19:55:17,26.2,2.62,90,2398,82.03
2024-09-04 19:55:18,29,2.62,92,2398,81.61
2024-09-04 19:55:20,31.2,2.62,90,2398,82.19
2024-09-04 19:55:21,27.4,2.62,90,2398,82.02
2024-09-04 19:55:23,27.4,2.62,89,2398,82.65
2024-09-04 19:55:24,27.4,2.62,90,2398,82.62
2024-09-04 19:55:25,26.2,2.62,90,2398,82.40
2024-09-04 19:55:27,26.2,2.62,90,2398,84.06
2024-09-04 19:55:28,28.6,2.62,89,2398,83.24
2024-09-04 19:55:29,30.8,2.62,90,2398,83.42
2024-09-04 19:55:31,29.7,2.62,90,2398,83.39
2024-09-04 19:55:32,28.6,2.62,90,2398,83.08
2024-09-04 19:55:34,27.4,2.62,90,2398,83.46
2024-09-04 19:55:35,30.6,2.62,92,2398,83.23
2024-09-04 19:55:36,57.1,2.72,90,2398,82.76
2024-09-04 19:55:38,28.6,2.71,90,2398,83.35
2024-09-04 19:55:39,27.4,2.71,90,2398,83.67
2024-09-04 19:55:40,29,2.71,90,2398,84.16
2024-09-04 19:55:42,29.7,2.71,90,2398,83.58
2024-09-04 19:55:43,27.4,2.71,91,2398,84.73
2024-09-04 19:55:45,25,2.70,90,2398,82.85
2024-09-04 19:55:46,27.4,2.72,88,2398,83.04
2024-09-04 19:55:47,27.9,2.71,92,2398,83.12
2024-09-04 19:55:49,28.6,2.70,91,2398,84.07
2024-09-04 19:55:50,30.2,2.71,90,2398,83.84
2024-09-04 19:55:51,55.6,2.71,88,2398,82.36
2024-09-04 19:55:53,54.7,2.73,92,2398,83.72
2024-09-04 19:55:54,53.2,2.78,89,2398,83.09
2024-09-04 19:55:56,50.8,2.75,89,2398,84.02
2024-09-04 19:55:57,53.2,2.72,89,2398,83.93
2024-09-04 19:55:58,29,2.72,81,2398,84.49
2024-09-04 19:56:00,29,2.73,89,2398,84.10
2024-09-04 19:56:01,26.2,2.70,90,2398,84.73
2024-09-04 19:56:02,32.3,2.70,89,2398,84.51
2024-09-04 19:56:04,28.6,2.71,93,2398,84.71
2024-09-04 19:56:05,28.6,2.71,85,2398,84.80
2024-09-04 19:56:07,30.2,2.70,91,2398,84.69
2024-09-04 19:56:08,27,2.70,90,2398,85.11
2024-09-04 19:56:09,30.2,2.70,89,2398,84.81
2024-09-04 19:56:11,29.2,2.70,90,2398,85.60
2024-09-04 19:56:12,9.7,1.79,81,2,77.73
2024-09-04 19:56:13,26.7,1.73,0,2,34.62
2024-09-04 19:56:15,27.4,1.94,0,2,30.34
2024-09-04 19:56:16,28.6,2.04,0,2,17.36
2024-09-04 19:56:18,27.9,2.35,1,742,20.16
2024-09-04 19:56:19,25,2.67,68,962,43.32
2024-09-04 19:56:20,30.2,2.68,28,962,52.92
2024-09-04 19:56:22,30.2,2.68,28,962,52.47
2024-09-04 19:56:23,27.4,2.68,28,962,52.47
2024-09-04 19:56:24,27.9,1.71,0,2,42.29
2024-09-04 19:56:26,27,1.93,0,2,29.75
2024-09-04 19:56:27,27.4,2.03,0,2,15.32
2024-09-04 19:56:29,25,2.26,1,234,17.07
2024-09-04 19:56:30,27.9,2.68,7,314,34.39
2024-09-04 19:56:31,28.6,2.69,7,314,29.54
2024-09-04 19:56:33,30.2,2.69,11,314,29.43
2024-09-04 19:56:34,32.8,2.69,7,314,29.11
2024-09-04 19:56:35,27.9,2.69,7,314,29.02
2024-09-04 19:56:37,20.6,1.68,9,2,28.64
2024-09-04 19:56:38,45.2,1.86,0,2,26.32
2024-09-04 19:56:40,27.4,2.00,0,2,23.77
2024-09-04 19:56:41,27,2.10,0,2,12.39
2024-09-04 19:56:42,26.2,2.71,41,548,44.79
2024-09-04 19:56:44,27.4,2.71,40,548,59.73
2024-09-04 19:56:45,27.4,2.73,40,548,59.56
2024-09-04 19:56:46,27.9,2.73,39,548,59.87
2024-09-04 19:56:48,27.4,1.75,0,2,32.10
2024-09-04 19:56:49,28.1,1.94,0,2,27.84
2024-09-04 19:56:50,31.2,2.05,0,2,22.62
2024-09-04 19:56:52,30.2,2.68,8,466,26.05
2024-09-04 19:56:53,28.6,2.70,42,466,55.16
2024-09-04 19:56:55,28.6,2.70,42,466,55.56
2024-09-04 19:56:56,31.2,2.70,43,466,55.68
2024-09-04 19:56:57,27.9,2.71,43,466,55.37
2024-09-04 19:56:59,28.6,2.73,42,466,55.62
2024-09-04 19:57:00,27.9,2.73,43,466,55.51
2024-09-04 19:57:01,1.6,1.70,0,2,43.75
2024-09-04 19:57:03,27,1.77,0,2,32.64
2024-09-04 19:57:04,30.6,1.96,0,2,22.72
2024-09-04 19:57:06,27,2.07,0,2,17.26
2024-09-04 19:57:07,28.6,2.66,15,678,32.14
2024-09-04 19:57:08,28.6,2.68,20,678,41.28
2024-09-04 19:57:10,28.6,2.69,20,678,35.62
2024-09-04 19:57:11,27.9,2.69,20,2,35.41
2024-09-04 19:57:12,29,1.71,0,2,26.56
2024-09-04 19:57:14,25.8,1.92,0,2,23.60
2024-09-04 19:57:15,26.2,2.02,0,2,12.44
2024-09-04 19:57:17,28.6,2.24,1,190,13.59
2024-09-04 19:57:18,29.7,2.69,87,714,88.35
2024-09-04 19:57:19,28.6,2.70,88,714,89.67
2024-09-04 19:57:21,29,2.70,88,714,90.53
2024-09-04 19:57:22,27.4,2.70,87,714,88.17
2024-09-04 19:57:23,30.2,2.70,87,714,87.89
2024-09-04 19:57:25,29.7,2.71,89,714,88.51
2024-09-04 19:57:26,29.2,2.71,88,714,88.67
2024-09-04 19:57:27,28.3,2.73,88,714,90.06
2024-09-04 19:57:29,27.4,2.73,89,714,89.63
2024-09-04 19:57:30,29.7,2.71,87,714,87.43
2024-09-04 19:57:32,27.4,2.72,88,714,88.42
2024-09-04 19:57:33,27.4,2.73,87,714,89.16
2024-09-04 19:57:34,33.9,2.73,89,714,89.99
2024-09-04 19:57:36,30.2,2.73,87,714,88.50
2024-09-04 19:57:37,29,2.73,89,714,89.66
2024-09-04 19:57:38,30.6,2.73,87,714,88.31
2024-09-04 19:57:40,53.1,2.76,88,714,91.57
2024-09-04 19:57:41,27,2.76,89,714,92.50
2024-09-04 19:57:43,30.2,2.76,88,714,92.39
2024-09-04 19:57:44,26.2,2.76,89,714,92.64
2024-09-04 19:57:45,27.9,2.77,88,714,87.83
2024-09-04 19:57:47,27,2.77,88,714,89.27
2024-09-04 19:57:48,27.4,2.76,88,714,88.40
2024-09-04 19:57:49,30.6,2.76,89,714,90.98
2024-09-04 19:57:51,28.6,2.76,88,714,90.35
2024-09-04 19:57:52,28.6,2.77,87,714,87.28
