Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 20:43:24,1.6,1.00,0,2,8.47
2024-09-04 20:43:25,100,1.00,0,2,8.55
2024-09-04 20:43:27,1.6,1.00,0,2,8.60
2024-09-04 20:43:28,100,1.00,0,2,8.62
2024-09-04 20:43:30,1.6,1.02,0,2,8.62
2024-09-04 20:43:31,1.6,1.02,0,2,8.59
2024-09-04 20:43:32,1.6,1.02,0,2,8.59
2024-09-04 20:43:34,1.6,1.02,0,2,8.62
2024-09-04 20:43:35,29.5,1.04,0,2,8.60
2024-09-04 20:43:36,29,1.08,0,2,8.60
2024-09-04 20:43:38,25.8,1.25,0,2,8.59
2024-09-04 20:43:39,25.8,1.36,0,2,8.56
2024-09-04 20:43:41,77.4,1.46,0,2,8.56
2024-09-04 20:43:42,100,1.79,0,2,8.51
2024-09-04 20:43:43,27.4,1.99,0,2,8.49
2024-09-04 20:43:45,26.2,2.19,0,2,8.60
2024-09-04 20:43:46,26.2,2.29,0,2,8.71
2024-09-04 20:43:47,28.6,2.77,2,220,21.75
2024-09-04 20:43:49,26.2,2.77,9,220,36.86
2024-09-04 20:43:50,29,2.78,10,220,30.80
2024-09-04 20:43:51,30.2,2.79,10,220,30.74
2024-09-04 20:43:53,29,2.79,10,2,30.85
2024-09-04 20:43:54,27.4,1.96,0,2,24.91
2024-09-04 20:43:56,26.2,2.16,0,2,16.74
2024-09-04 20:43:57,27.4,2.27,0,2,10.31
2024-09-04 20:43:58,52.4,2.57,1,182,15.17
2024-09-04 20:44:00,30.2,2.92,6,218,31.80
2024-09-04 20:44:01,31.2,2.92,6,218,26.40
2024-09-04 20:44:02,27.4,2.94,6,218,26.58
2024-09-04 20:44:04,29,2.94,6,218,26.63
2024-09-04 20:44:05,27.9,2.94,6,218,26.53
2024-09-04 20:44:07,28.6,2.94,6,218,26.76
2024-09-04 20:44:08,29,2.94,6,218,26.83
2024-09-04 20:44:09,27.4,2.94,6,218,26.85
2024-09-04 20:44:11,25.8,1.97,0,2,25.70
2024-09-04 20:44:12,25.8,2.12,0,2,16.81
2024-09-04 20:44:13,25.8,2.26,0,2,13.23
2024-09-04 20:44:15,29,2.36,0,5,8.82
2024-09-04 20:44:16,31.2,2.92,17,252,37.04
2024-09-04 20:44:17,29,2.94,18,252,39.69
2024-09-04 20:44:19,29.7,2.95,17,252,36.41
2024-09-04 20:44:20,29,2.96,18,252,36.17
2024-09-04 20:44:22,29,2.96,16,252,36.27
2024-09-04 20:44:23,27.4,2.96,18,166,36.51
2024-09-04 20:44:24,24.2,1.98,0,2,25.14
2024-09-04 20:44:26,26.2,2.19,0,2,18.59
2024-09-04 20:44:27,30.2,2.30,0,2,12.63
2024-09-04 20:44:28,28.6,2.82,2,192,17.24
2024-09-04 20:44:30,28.3,2.92,6,192,26.76
2024-09-04 20:44:31,28.6,2.92,6,192,26.70
2024-09-04 20:44:33,29.5,2.92,6,192,26.67
2024-09-04 20:44:34,28.3,2.93,6,192,26.66
2024-09-04 20:44:35,29.5,2.94,6,192,26.62
2024-09-04 20:44:37,26.2,2.95,7,192,26.67
2024-09-04 20:44:38,28.6,1.98,0,2,25.37
2024-09-04 20:44:39,27,2.18,0,2,15.92
2024-09-04 20:44:41,27.4,2.27,0,2,12.70
2024-09-04 20:44:42,29,2.48,2,150,13.46
2024-09-04 20:44:43,29.7,2.90,9,198,29.02
2024-09-04 20:44:45,26.2,2.91,9,198,29.01
2024-09-04 20:44:46,29,2.92,9,198,28.87
2024-09-04 20:44:48,26.2,2.92,9,198,28.94
2024-09-04 20:44:49,30.2,2.92,9,198,29.05
2024-09-04 20:44:50,24.2,2.00,0,2,26.21
2024-09-04 20:44:52,27.4,2.21,0,2,22.15
2024-09-04 20:44:53,27.4,2.31,0,2,16.82
2024-09-04 20:44:54,25.8,2.79,1,212,14.50
2024-09-04 20:44:56,26.2,2.79,6,212,26.60
2024-09-04 20:44:57,29,2.79,6,212,26.57
2024-09-04 20:44:59,28.6,2.81,6,212,26.50
2024-09-04 20:45:00,28.3,2.81,6,2,26.45
2024-09-04 20:45:01,27.4,1.99,0,2,25.41
2024-09-04 20:45:03,26.2,2.19,0,2,17.28
2024-09-04 20:45:04,29,2.29,0,2,10.00
2024-09-04 20:45:05,27.4,2.70,2,208,15.63
2024-09-04 20:45:07,28.6,2.92,7,208,33.71
2024-09-04 20:45:08,26.7,2.93,7,208,27.92
2024-09-04 20:45:09,29.7,2.95,7,208,27.85
