Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 20:36:49,100,0.97,0,2,8.43
2024-09-04 20:36:51,3.2,0.98,0,2,8.45
2024-09-04 20:36:52,1.6,0.99,0,2,8.48
2024-09-04 20:36:53,1.6,1.00,0,2,8.46
2024-09-04 20:36:55,1.6,1.00,0,2,8.47
2024-09-04 20:36:56,100,1.00,0,2,8.49
2024-09-04 20:36:57,1.6,1.00,0,2,8.49
2024-09-04 20:36:59,100,1.00,0,2,8.53
2024-09-04 20:37:00,27,1.03,0,2,8.52
2024-09-04 20:37:02,26.2,1.15,0,2,8.48
2024-09-04 20:37:03,25.8,1.26,0,2,8.41
2024-09-04 20:37:04,25.8,1.35,0,2,8.34
2024-09-04 20:37:06,52.4,1.45,0,2,8.36
2024-09-04 20:37:07,100,1.58,0,2,8.43
2024-09-04 20:37:08,26.2,1.91,0,2,8.49
2024-09-04 20:37:10,29,2.11,0,2,8.56
2024-09-04 20:37:11,26.2,2.23,0,2,8.56
2024-09-04 20:37:12,28.6,2.35,0,128,9.43
2024-09-04 20:37:14,27.9,2.74,11,222,37.83
2024-09-04 20:37:15,27.9,2.75,11,222,33.23
2024-09-04 20:37:17,31.2,2.75,12,222,31.92
2024-09-04 20:37:18,30.2,2.76,11,2,31.90
2024-09-04 20:37:19,27.4,1.97,0,2,25.17
2024-09-04 20:37:21,26.2,2.17,0,2,25.17
2024-09-04 20:37:22,25.4,2.27,0,2,11.15
2024-09-04 20:37:23,27.4,2.86,2,216,18.01
2024-09-04 20:37:25,28.6,2.86,7,218,29.91
2024-09-04 20:37:26,27.9,2.86,7,218,26.91
2024-09-04 20:37:28,26.2,2.86,7,218,26.85
2024-09-04 20:37:29,29,2.86,8,218,26.73
2024-09-04 20:37:30,26.7,2.88,7,218,26.61
2024-09-04 20:37:32,27.9,2.88,7,218,26.87
2024-09-04 20:37:33,29,2.89,7,218,27.03
2024-09-04 20:37:34,35.9,1.98,0,2,25.50
2024-09-04 20:37:36,26.2,2.08,0,2,23.62
2024-09-04 20:37:37,27.9,2.22,0,2,19.02
2024-09-04 20:37:38,27.4,2.33,0,2,10.02
2024-09-04 20:37:40,28.6,2.88,19,252,31.21
2024-09-04 20:37:41,30.2,2.88,18,252,36.78
2024-09-04 20:37:43,28.6,2.89,17,252,36.47
2024-09-04 20:37:44,30.2,2.90,17,252,36.71
2024-09-04 20:37:45,27.4,2.90,18,252,36.76
2024-09-04 20:37:47,30.2,2.89,19,2,35.43
2024-09-04 20:37:48,27.9,1.94,0,2,25.69
2024-09-04 20:37:49,28.6,2.16,0,2,20.93
2024-09-04 20:37:51,28.6,2.26,0,2,14.46
2024-09-04 20:37:52,30.8,2.58,2,200,15.98
2024-09-04 20:37:54,25,2.89,7,210,26.75
2024-09-04 20:37:55,28.6,2.89,7,210,26.92
2024-09-04 20:37:56,27.4,2.89,6,210,26.89
2024-09-04 20:37:58,28.6,2.87,7,210,26.93
2024-09-04 20:37:59,27.4,2.89,7,210,26.66
2024-09-04 20:38:00,29.7,2.89,7,210,26.80
2024-09-04 20:38:02,26.2,1.91,0,2,25.85
2024-09-04 20:38:03,25.8,2.15,0,2,23.43
2024-09-04 20:38:05,28.6,2.25,0,2,17.66
2024-09-04 20:38:06,28.6,2.43,2,150,11.35
2024-09-04 20:38:07,28.6,2.87,9,198,27.86
2024-09-04 20:38:09,27.4,2.87,9,198,28.27
2024-09-04 20:38:10,27.4,2.87,9,198,28.17
2024-09-04 20:38:11,26.2,2.88,10,198,28.32
