Column,MAE,RMSE,POCID
ABBV,0.7939932686941924,1.2609458217305702,0.40531426978162954
ACN,1.7475760323660714,2.1912531278311387,0.5293187233907583
AEP,0.19236428397042613,0.2875972391906662,0.1969763420024038
AIZ,0.8339320591517898,1.4035407916456013,0.44034521578714836
ALLE,1.0166996547154017,1.341383959292859,0.7618825743967643
AMAT,3.099707467215398,4.137375868682555,1.5037770740325906
AMP,1.7091238839285876,2.7716218990956505,0.39365962508588387
AMZN,1.1140267508370536,1.6792003506956261,0.6266120735925572
AVB,0.9294869559151705,1.516165578162642,0.42810108259262075
AVY,1.1424342564174108,1.5891378641115885,0.5325395392272089
AXP,2.172162737165183,3.100213941243694,0.8659406801209926
BDX,0.46002415248324674,0.6413694394642215,0.19518186928510517
BF-B,0.22270638602120535,0.30639637342960035,0.49432244900541294
BMY,0.315979003906251,0.42981241964062267,0.6483140484845508
BR,0.6456407819475446,0.8745882703557921,0.30816704310325627
CARR,0.6087079729352679,0.8965430981773084,0.8831911778422077
CDW,2.045994349888401,2.7430762256667,0.9147087344352083
CE,1.1056344168526786,1.4251848720403446,0.8518359754738848
CHTR,3.54901559012276,4.7918539129880315,1.0168100112903924
CNC,0.15285273960658483,0.18757081953923374,0.19529973830060668
CNP,0.25301170349121144,0.35673588826580366,0.9663257853404877
COP,0.6415132795061343,0.942444162481569,0.5794762100802091
CTAS,3.3335658482142856,4.701889156792469,0.42946859080697275
CZR,0.3806724548339844,0.7051406664051633,1.0319522928536413
DG,0.6535121372767877,0.9580364282565045,0.531452659812873
DPZ,5.172738211495544,6.94752729418652,1.2009952868530167
DXC,0.1909242357526512,0.29275517745077295,0.9644029676791834
EWA,0.252954210553851,0.3298589744561419,0.9989165364649653
EWC,0.21624755859375,0.3206140838887233,0.5467700626690624
EWG,0.21696008954729404,0.29329151964885186,0.6823257437172981
EWH,0.10135119301932173,0.14170163938619118,0.6454902722919362
EWJ,0.6175504411969867,0.8154733767330778,0.8782894953039053
EWL,0.3394590105329241,0.44898720094703676,0.6589061134578762
EWQ,0.2888009207589296,0.3926131410559721,0.7344886037583054
EWT,0.5956551688058036,0.8191687025780685,1.1039704929143532
EWU,0.24091557094028815,0.32121596037105454,0.6554761270129837
EWY,0.5895538330078125,0.9529408046345743,0.8924713709611756
EWZ,0.37671143668038454,0.5039129442016425,1.239473587197505
FTV,0.5961870465959821,0.9150287196134902,0.8374421665826857
GOOG,1.3427189418247767,1.8306647678014778,0.8051321730385008
GPC,1.1838575090680803,1.842674258324636,0.8428945982961918
GSG,0.12109865461077161,0.17042662493060992,0.5773279259875528
HIG,0.4072810581752232,0.5294233083568757,0.3662693493407055
HIGH.L,0.005106994083949752,0.007499907939629807,0.08848971227276181
HST,0.229266847882952,0.27962402034874295,1.3638717669128264
HYG,0.12976619175502233,0.18574800120058274,0.16425803127904126
IAU,0.19796262468610593,0.30692588043289787,0.4181089133532795
ICLN,0.14967073713030082,0.1994883414228901,1.0509531089371158
IEAA.L,0.0038652420043945312,0.005089376877260302,0.07589428985551676
IEF,0.2295510428292431,0.2935381692562825,0.2356614096033069
IEFM.L,1.550231933593815,2.2957829903425218,0.16408291578294348
IEMG,0.4024620056152354,0.5054069704435239,0.7369749224195057
IEUS,0.5648345947265625,0.7179948034651267,0.9587396092281115
IEVL.L,0.03396047864641462,0.04511664210988421,0.39382947664432466
IGF,0.2723143441336475,0.36113599339667746,0.5279456106533069
INDA,0.14058140345982043,0.18567270083179405,0.24812653252769876
IUMO.L,0.039555822099957894,0.049183933263229826,0.28265695375281075
IUVL.L,0.04325989314487977,0.0702019974562463,0.44935339141033676
IVV,2.7398681640625,3.6018060541860315,0.48831295217665927
IWM,2.383771623883933,3.1834426122378416,1.1105831743785202
IXN,0.7604315621512276,1.0146499853059736,0.9242157987240823
JPEA.L,0.017970834459577287,0.022813903502385026,0.31442671850852466
JPM,0.9034162248883888,1.2130290598634605,0.41951066522995284
KR,0.36712646484375,0.45359543703461014,0.6982245478869608
LQD,0.26856231689453125,0.34213185678200203,0.2406287575813239
MCHI,0.37545013427734375,0.49330460361043477,0.8849887069057351
META,2.87872314453125,3.9214130590521727,0.543750366447446
MVEU.L,0.17237309047153918,0.20659552579099977,0.2827278167118271
OGN,0.37738473074776685,0.6139403170871633,1.8002542724238946
PG,0.5317491803850446,0.8561625875197941,0.3143548441594246
PPL,0.08731051853724889,0.12834842142528158,0.27769259604415597
PRU,0.8997900826590362,1.1409722627141985,0.7854217243184467
PYPL,0.6478947230747768,1.0736479980863212,0.921951363787644
REET,0.13654708862304737,0.20636558947873132,0.5373149889759471
ROL,0.3028853280203683,0.44003095809253556,0.613784933060086
ROST,1.5232434953962053,2.6295497476757346,1.013969893296432
SEGA.L,0.15661621093751218,0.26354113259552864,0.16518581564981008
SHY,0.07590593610491071,0.10088299687397694,0.09186403031338886
SLV,0.26557568141392196,0.4000016591433849,0.9936022165450047
SPMV.L,0.21712711879185878,0.3016540857732706,0.22621448101074193
TLT,0.4100592476981047,0.5513338554348678,0.4182388005695026
UNH,1.7066737583705358,2.5426574475260226,0.2945377501360733
URI,7.628583635602679,11.653572168097096,1.0570276535624838
V,0.491943359375,0.7343886931789221,0.18386968781749255
VRSK,0.8819798060825893,1.240577893211735,0.32864321936204277
VXX,1.162879398890905,1.532055459940431,2.522085130054522
WRK,0.0009732927594866071,0.0011389264970868647,0.001889522017475455
XLB,0.46036420549664975,0.6425410433965597,0.5044929247478812
XLC,0.3884211948939732,0.5212194591439178,0.44654912995231505
XLE,0.677762712751114,1.0769952644188387,0.754290909716804
XLF,0.15727833339146205,0.20613694636932947,0.35779926703262965
XLI,0.48137555803571225,0.6546034166777186,0.3767010875454475
XLK,2.0838775634765585,2.799503329686692,0.9338520785020548
XLP,0.22269112723214285,0.290711847819488,0.2743660026361266
XLU,0.21537998744419642,0.2944081054690859,0.28744159424395344
XLV,0.36273411342075895,0.49688670769370724,0.23535169588077462
XLY,1.658477783203129,2.181793491768094,0.8953820303724038
XOM,1.0760519845145151,1.6785337508583074,0.9249541236219421
