Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 22:17:35,1.6,0.71,0,2,8.84
2024-09-04 22:17:36,100,0.71,0,2,8.78
2024-09-04 22:17:38,3.2,0.71,0,2,8.72
2024-09-04 22:17:39,100,0.71,0,2,8.80
2024-09-04 22:17:41,1.6,0.71,0,2,8.77
2024-09-04 22:17:42,3.2,0.71,0,2,8.70
2024-09-04 22:17:43,3.1,0.71,0,2,8.72
2024-09-04 22:17:45,1.6,0.71,0,2,8.72
2024-09-04 22:17:46,100,0.71,0,2,8.72
2024-09-04 22:17:47,1.6,0.71,0,2,8.83
2024-09-04 22:17:49,100,0.71,0,2,8.85
2024-09-04 22:17:50,3.2,0.72,0,2,8.85
2024-09-04 22:17:52,27,0.76,0,2,8.86
2024-09-04 22:17:53,22.6,0.88,0,2,8.87
2024-09-04 22:17:54,25.8,1.00,0,2,8.89
2024-09-04 22:17:56,26.2,1.09,0,2,8.85
2024-09-04 22:17:57,52.4,1.20,0,2,8.76
2024-09-04 22:17:58,30.2,1.60,0,2,8.80
2024-09-04 22:18:00,27.4,1.77,0,2,8.78
2024-09-04 22:18:01,29.5,1.91,0,2,8.80
2024-09-04 22:18:02,23,2.02,0,2,8.76
2024-09-04 22:18:04,30.2,2.56,5,208,29.80
2024-09-04 22:18:05,28.6,2.56,5,208,27.77
2024-09-04 22:18:07,27.9,2.56,5,208,25.73
2024-09-04 22:18:08,26.2,2.56,5,208,25.76
2024-09-04 22:18:09,29,2.58,5,208,25.71
2024-09-04 22:18:11,23,1.64,0,2,25.08
2024-09-04 22:18:12,29.7,1.80,0,2,24.81
2024-09-04 22:18:13,28.6,1.93,0,2,19.15
2024-09-04 22:18:15,22,2.05,0,2,9.18
2024-09-04 22:18:16,30.2,2.44,4,188,30.56
2024-09-04 22:18:17,27.9,2.46,4,188,27.70
2024-09-04 22:18:19,30.2,2.47,4,188,25.77
