Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 22:11:48,100,0.58,0,2,8.39
2024-09-04 22:11:49,100,0.58,0,2,8.38
2024-09-04 22:11:51,100,0.59,0,2,8.38
2024-09-04 22:11:52,1.6,0.59,0,2,8.43
2024-09-04 22:11:53,100,0.59,0,2,8.41
2024-09-04 22:11:55,3.2,0.59,0,2,8.44
2024-09-04 22:11:56,100,0.59,0,2,8.47
2024-09-04 22:11:57,100,0.59,0,2,8.50
2024-09-04 22:11:59,1.6,0.59,0,2,8.46
2024-09-04 22:12:00,27,0.60,0,2,8.46
2024-09-04 22:12:02,27.4,0.70,0,2,8.45
2024-09-04 22:12:03,27,0.83,0,2,8.50
2024-09-04 22:12:04,25.8,0.93,0,2,8.50
2024-09-04 22:12:06,31.7,1.05,0,2,8.50
2024-09-04 22:12:07,100,1.31,0,2,8.50
2024-09-04 22:12:09,27,1.56,0,2,8.54
2024-09-04 22:12:10,27,1.77,0,2,8.58
2024-09-04 22:12:11,24.2,1.86,0,2,8.54
2024-09-04 22:12:13,28.6,2.43,5,220,15.60
2024-09-04 22:12:14,26.2,2.44,6,220,31.43
2024-09-04 22:12:15,27.9,2.45,6,220,26.16
2024-09-04 22:12:17,28.6,2.46,6,220,26.24
2024-09-04 22:12:18,27.9,2.44,6,220,26.16
2024-09-04 22:12:19,3.2,1.53,0,2,25.52
2024-09-04 22:12:21,28.6,1.59,0,2,21.90
2024-09-04 22:12:22,30.2,1.78,0,2,16.32
2024-09-04 22:12:24,25.4,1.88,0,2,9.93
2024-09-04 22:12:25,29,2.34,5,208,23.80
2024-09-04 22:12:26,31.2,2.35,5,208,29.50
2024-09-04 22:12:28,30.2,2.36,5,208,25.73
2024-09-04 22:12:29,28.6,2.36,5,208,25.73
2024-09-04 22:12:30,29,2.36,5,208,25.83
2024-09-04 22:12:32,29,2.35,5,208,25.86
2024-09-04 22:12:33,26.2,2.35,5,208,25.85
2024-09-04 22:12:35,1.6,1.53,0,2,25.24
2024-09-04 22:12:36,28.1,1.62,0,2,20.69
2024-09-04 22:12:37,30.2,1.79,0,2,15.68
2024-09-04 22:12:39,28.6,1.91,0,2,9.83
2024-09-04 22:12:40,26.2,2.44,4,208,25.95
2024-09-04 22:12:41,29.5,2.45,5,208,29.76
2024-09-04 22:12:43,30.8,2.46,5,208,25.83
2024-09-04 22:12:44,29,2.46,5,208,26.02
2024-09-04 22:12:46,27.9,2.46,5,208,26.08
2024-09-04 22:12:47,27.9,2.47,5,208,26.07
2024-09-04 22:12:48,28.6,2.47,5,2,26.02
2024-09-04 22:12:50,23,1.57,0,2,24.93
2024-09-04 22:12:51,29,1.78,0,2,18.52
2024-09-04 22:12:52,27.4,1.88,0,2,9.43
2024-09-04 22:12:54,28.6,2.32,1,208,16.75
2024-09-04 22:12:55,28.6,2.45,5,208,31.47
2024-09-04 22:12:56,29,2.45,6,208,26.05
2024-09-04 22:12:58,29,2.47,6,208,26.31
2024-09-04 22:12:59,27.9,2.48,6,208,26.43
2024-09-04 22:13:01,27,1.57,0,2,24.92
2024-09-04 22:13:02,26.2,1.78,0,2,14.02
2024-09-04 22:13:03,26.2,1.88,0,2,10.06
2024-09-04 22:13:05,28.6,2.23,3,208,17.71
2024-09-04 22:13:06,30.2,2.35,5,208,30.90
2024-09-04 22:13:07,30.6,2.35,5,208,25.74
2024-09-04 22:13:09,27.4,2.35,5,208,25.75
2024-09-04 22:13:10,25,2.35,5,208,25.65
2024-09-04 22:13:12,23,2.35,5,2,25.71
2024-09-04 22:13:13,29.2,1.60,0,2,24.80
2024-09-04 22:13:14,27.4,1.80,0,2,15.04
2024-09-04 22:13:16,24.2,1.91,0,2,9.22
2024-09-04 22:13:17,27.9,2.34,5,208,19.26
2024-09-04 22:13:18,27.4,2.35,5,208,29.94
2024-09-04 22:13:20,31.2,2.36,5,208,25.80
2024-09-04 22:13:21,31.2,2.36,5,208,25.70
2024-09-04 22:13:22,27.9,2.38,5,208,25.82
2024-09-04 22:13:24,29,2.38,5,208,25.81
2024-09-04 22:13:25,27,1.56,0,2,25.02
2024-09-04 22:13:27,29.7,1.76,0,2,19.82
2024-09-04 22:13:28,27.4,1.88,0,2,10.68
2024-09-04 22:13:29,26.2,2.00,0,130,9.38
2024-09-04 22:13:31,25,2.35,4,188,31.08
2024-09-04 22:13:32,27.9,2.35,4,188,26.99
2024-09-04 22:13:33,26.7,2.37,4,188,25.97
2024-09-04 22:13:35,29,2.37,4,188,26.06
2024-09-04 22:13:36,3.2,1.60,4,2,25.98
2024-09-04 22:13:37,27.9,1.57,0,2,25.20
2024-09-04 22:13:39,27,1.80,0,2,23.28
2024-09-04 22:13:40,27,1.90,0,2,10.19
2024-09-04 22:13:42,27.9,2.08,3,178,12.94
2024-09-04 22:13:43,54,2.53,5,208,32.04
2024-09-04 22:13:44,27.4,2.58,6,208,26.72
2024-09-04 22:13:46,27.9,2.58,6,208,26.77
2024-09-04 22:13:47,29.7,2.58,6,208,26.81
2024-09-04 22:13:48,28.3,2.58,6,166,26.70
2024-09-04 22:13:50,29,1.71,0,2,25.11
2024-09-04 22:13:51,28.1,1.89,0,2,15.79
2024-09-04 22:13:53,22.6,2.00,0,2,9.57
2024-09-04 22:13:54,29.7,2.58,1,208,19.82
2024-09-04 22:13:55,29,2.59,5,208,30.86
2024-09-04 22:13:57,29,2.59,5,208,26.11
2024-09-04 22:13:58,26.2,2.60,5,208,26.07
2024-09-04 22:13:59,27.9,2.60,5,208,25.95
2024-09-04 22:14:01,28.6,2.60,6,208,26.03
2024-09-04 22:14:02,28.6,2.59,5,208,26.15
2024-09-04 22:14:03,30,2.60,5,208,26.17
2024-09-04 22:14:05,8.2,1.66,0,2,25.68
2024-09-04 22:14:06,27.4,1.77,0,2,25.07
2024-09-04 22:14:08,27.4,1.93,0,2,14.25
2024-09-04 22:14:09,27.4,2.03,0,2,9.89
2024-09-04 22:14:10,27.4,2.55,5,208,30.03
2024-09-04 22:14:12,29,2.56,5,208,28.32
2024-09-04 22:14:13,27.9,2.56,5,208,26.20
2024-09-04 22:14:14,29,2.56,5,208,26.25
2024-09-04 22:14:16,28.6,2.57,5,208,26.21
2024-09-04 22:14:17,29,2.57,5,208,26.21
2024-09-04 22:14:19,31.7,2.57,5,208,26.11
2024-09-04 22:14:20,27.9,2.58,5,208,26.17
2024-09-04 22:14:21,27.4,2.58,5,208,26.22
2024-09-04 22:14:23,30.2,1.76,3,178,26.25
2024-09-04 22:14:24,36.7,2.14,5,208,26.72
2024-09-04 22:14:25,39.7,2.14,4,208,26.87
2024-09-04 22:14:27,38.1,2.15,5,208,26.93
2024-09-04 22:14:28,39.1,2.16,5,208,26.76
2024-09-04 22:14:29,42.4,2.17,5,208,26.75
2024-09-04 22:14:31,40,2.18,5,166,26.77
2024-09-04 22:14:32,100,2.18,0,166,25.24
2024-09-04 22:14:34,6.3,2.18,0,166,25.32
2024-09-04 22:14:35,3.2,2.18,0,166,25.30
2024-09-04 22:14:36,1.6,2.18,0,166,25.31
2024-09-04 22:14:38,3.2,2.18,0,166,25.27
2024-09-04 22:14:39,3.1,2.18,0,166,25.37
2024-09-04 22:14:41,3.2,2.18,0,166,25.42
2024-09-04 22:14:42,1.6,2.18,0,166,25.39
2024-09-04 22:14:43,4.8,2.19,0,166,25.34
2024-09-04 22:14:45,27.4,2.19,0,166,25.36
2024-09-04 22:14:46,3.2,2.17,0,166,25.29
2024-09-04 22:14:47,1.7,2.18,0,166,25.33
2024-09-04 22:14:49,8.1,2.18,0,166,22.37
2024-09-04 22:14:50,3.2,2.18,0,166,10.36
2024-09-04 22:14:52,4.8,2.19,0,166,9.01
2024-09-04 22:14:53,6.2,2.19,0,166,8.97
2024-09-04 22:14:54,4.7,2.19,0,166,8.98
2024-09-04 22:14:56,3.2,2.19,0,166,8.95
2024-09-04 22:14:57,48.4,1.77,0,166,8.90
2024-09-04 22:14:58,50.8,1.77,0,166,8.88
2024-09-04 22:15:00,48.3,1.78,0,166,8.93
2024-09-04 22:15:01,24.2,1.30,0,2,9.02
2024-09-04 22:15:03,1.6,0.70,0,2,10.47
2024-09-04 22:15:04,1.6,0.70,0,2,8.96
2024-09-04 22:15:05,100,0.70,0,2,8.94
2024-09-04 22:15:07,100,0.70,0,2,9.00
2024-09-04 22:15:08,1.6,0.70,0,2,9.05
2024-09-04 22:15:09,100,0.70,0,2,9.06
